"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.720035708E0,5.768275318E-1,-4.639385551E-2,7.438430142E-1
5.739951708E0,6.819704095E-1,2.103220081E-1,2.087740163E0
5.759867708E0,6.973295832E-1,3.089806160E-1,2.741238433E0
5.779784708E0,9.788161527E-1,3.071227363E-1,2.481819109E0
5.799700708E0,1.025038100E0,4.122243181E-1,2.774312038E0
5.819616708E0,3.351441287E-1,7.705169888E-1,3.471727576E0
5.839532708E0,-5.118287131E-1,9.616216110E-1,3.308465129E0
5.859448708E0,-1.286915301E0,1.080677427E0,3.314683058E0
5.879364708E0,-1.942301783E0,1.247901801E0,3.941350209E0
5.899280708E0,-2.268983967E0,1.676870791E0,3.599121448E0
5.919196708E0,-2.249179740E0,1.905063936E0,2.526977155E0
5.939112708E0,-1.684068274E0,1.653900150E0,1.469642690E0
5.959028708E0,-1.042538816E0,1.206765616E0,3.217716926E-1
5.978944708E0,-5.010201350E-1,7.853217003E-1,-7.252488685E-1
5.998860708E0,2.434166640E-2,3.942236647E-1,-1.792283864E0
6.018776708E0,5.285830325E-1,8.526789933E-2,-2.639012146E0
6.038692708E0,8.141914505E-1,-7.194655336E-2,-3.137153989E0
6.058608708E0,7.751336579E-1,-1.187266175E-1,-3.421381295E0
6.078525708E0,5.000515437E-1,-5.671674930E-2,-3.277483072E0
6.098441708E0,3.162744328E-1,8.535823882E-2,-2.878066787E0
6.118357708E0,6.466070339E-2,2.477425621E-1,-2.259459438E0
6.138273708E0,6.440196410E-2,3.927275815E-1,-1.752233360E0
6.158189708E0,2.782451655E-1,3.548793586E-1,-1.230388659E0
6.178105708E0,3.482690813E-1,2.188718800E-1,-7.207447582E-1
6.198021708E0,5.228695719E-1,8.872141108E-2,-3.689546299E-1
6.217937708E0,9.315231416E-1,-5.401248515E-2,3.493302047E-2
6.237853708E0,1.400204666E0,-2.097117050E-1,7.309428871E-1
6.257769708E0,1.763631923E0,-3.225430135E-1,1.298848445E0
6.277685708E0,2.192033440E0,-3.741005451E-1,1.404937402E0
6.297601708E0,2.642382481E0,-4.325824957E-1,1.242961927E0
6.317517708E0,2.793329523E0,-7.490979069E-1,1.399210639E0
6.337433708E0,2.009235738E0,-1.131938285E0,1.688180621E0
6.357350708E0,7.564414251E-1,-1.375000535E0,2.169347413E0
6.377266708E0,-1.007621876E0,-9.683788727E-1,3.047437820E0
6.397182708E0,-2.435159205E0,-3.905811052E-1,2.360967101E0
6.417098708E0,-2.957030219E0,5.391973369E-2,1.318688632E0
6.437014708E0,-2.725960243E0,1.717653402E-1,6.977640313E-1
6.456930708E0,-1.625289432E0,-2.287421627E-2,1.750147659E-1
6.476846708E0,-5.801297468E-1,-2.813335186E-1,-2.147120976E-1
6.496762708E0,-3.708948822E-1,-4.351638953E-1,-8.549833810E-1
6.516678708E0,-3.050596194E-1,-4.467508109E-1,-1.459901229E0
6.536594583E0,-3.491945493E-1,-2.967682676E-1,-1.867842169E0
6.556510583E0,-3.585322604E-1,-1.640852965E-1,-2.254844230E0
6.576426583E0,-2.792693053E-1,-1.260183877E-1,-2.464335934E0
6.596342583E0,-2.264057980E-1,-1.836823860E-1,-2.592723248E0
6.616259583E0,-1.552877221E-1,-2.936740673E-1,-2.660084926E0
6.636175583E0,1.353554410E-1,-4.153223191E-1,-2.573311077E0
6.656091583E0,5.508872366E-1,-5.275668595E-1,-2.166353053E0
6.676007583E0,8.057303832E-1,-5.295825409E-1,-1.703069971E0
6.695923583E0,8.716735272E-1,-5.322346187E-1,-1.216082277E0
6.715839583E0,7.578180058E-1,-5.049050982E-1,-5.942449254E-1
6.735755583E0,5.626340005E-1,-3.914155394E-1,6.442286789E-2
6.755671583E0,3.553519598E-1,-2.244837086E-1,9.301575243E-1
6.775587583E0,-2.816983849E-2,1.572937556E-1,2.126744015E0
6.795503583E0,-4.436047165E-1,4.633009528E-1,2.994879538E0
6.815419583E0,-4.956336068E-1,5.762766875E-1,3.070763533E0
6.835335583E0,-4.532141038E-1,5.889013012E-1,3.333178970E0
6.855252583E0,-6.214700731E-1,8.548094995E-1,3.588529217E0
6.875168583E0,-1.038678850E0,1.280341861E0,3.300676637E0
6.895084583E0,-1.578645461E0,1.624179045E0,3.122842344E0
6.915000583E0,-1.937753380E0,2.043113336E0,3.062717764E0
6.934916583E0,-1.777790371E0,2.300106357E0,2.290114051E0
6.954832583E0,-1.353166301E0,2.110959748E0,1.057976489E0
6.974748583E0,-9.708909827E-1,1.565837282E0,8.302169144E-2
6.994664583E0,-6.717376359E-1,1.067478945E0,-6.204445446E-1
7.014580583E0,-4.404539444E-1,7.637530759E-1,-1.282644641E0
7.034496583E0,-1.356375691E-1,6.633729746E-1,-2.017093518E0
7.054412583E0,1.967076436E-2,5.946946494E-1,-2.647526861E0
7.074328583E0,7.471440598E-2,5.355574451E-1,-3.017228765E0
7.094244583E0,1.189616024E-1,3.926366573E-1,-3.077667341E0
7.114161583E0,2.764382297E-1,2.821861158E-1,-2.887466186E0
7.134077583E0,4.548155831E-1,1.180266327E-1,-2.605604079E0
7.153993583E0,7.262610215E-1,-7.705650821E-2,-2.125108548E0
7.173909583E0,1.015542368E0,-1.863158988E-1,-1.673264959E0
7.193825583E0,1.290758676E0,-2.961705360E-1,-1.308002846E0
7.213741583E0,1.369700034E0,-3.812133906E-1,-6.510289907E-1
7.233657583E0,1.051007339E0,-4.138065016E-1,1.912156463E-2
7.253573583E0,9.245015126E-1,-4.224419620E-1,5.640358704E-1
7.273489583E0,9.688064504E-1,-3.755672461E-1,1.225329648E0
7.293405583E0,1.275363396E0,-3.715312055E-1,1.701337441E0
