"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.042108729E1,-1.024058342E1,4.447896576E1,-3.401743317E1
5.044100429E1,-9.946269989E0,4.429036331E1,-3.456288910E1
5.046092129E1,-9.679479599E0,4.399594879E1,-3.455897522E1
5.048083829E1,-8.758642197E0,4.397349930E1,-3.467655182E1
5.050075529E1,-8.117994308E0,4.385615921E1,-3.527005005E1
5.052067229E1,-7.160633087E0,4.333267593E1,-3.586279297E1
5.054058929E1,-6.362873077E0,4.303498459E1,-3.630202484E1
5.056050629E1,-5.366167068E0,4.282729340E1,-3.666664124E1
5.058042329E1,-4.130359650E0,4.285011673E1,-3.666229248E1
5.060034029E1,-3.636724472E0,4.246987152E1,-3.650632477E1
5.062025729E1,-2.619840622E0,4.219936371E1,-3.639873505E1
5.064017429E1,-2.178619385E0,4.178791046E1,-3.723565674E1
5.066009129E1,-1.231761932E0,4.152085495E1,-3.745570374E1
5.068000829E1,-9.660263062E-1,4.124570084E1,-3.779663086E1
5.069992629E1,-4.209671021E-1,4.074080658E1,-3.816301727E1
5.071984329E1,-9.108181000E-1,4.051609039E1,-3.784194946E1
5.073976029E1,-4.016838074E-1,4.023210526E1,-3.814049530E1
5.075967729E1,-8.509559631E-1,4.025625229E1,-3.868440247E1
5.077959442E1,-5.774459839E-1,4.019496536E1,-3.848126221E1
5.079951142E1,-5.795993805E-1,4.052253342E1,-3.820051575E1
5.081942842E1,-1.112379074E0,4.061960983E1,-3.762067413E1
5.083934542E1,-1.285051346E0,4.063258743E1,-3.758985138E1
5.085926242E1,-1.550670624E0,4.030244446E1,-3.728614807E1
5.087917942E1,-1.813426971E0,4.069344330E1,-3.694757080E1
5.089909642E1,-2.427238464E0,4.057838058E1,-3.647184753E1
5.091901342E1,-3.369245529E0,4.062207794E1,-3.595433807E1
5.093893042E1,-3.848419189E0,4.105329514E1,-3.569967651E1
5.095884742E1,-4.748767853E0,4.076263428E1,-3.559806061E1
5.097876442E1,-5.891668320E0,4.093045044E1,-3.509290314E1
5.099868242E1,-6.438415527E0,4.078408432E1,-3.541555786E1
5.101859942E1,-6.996603012E0,4.059066010E1,-3.478826141E1
5.103851642E1,-7.732973099E0,4.073278046E1,-3.470491791E1
5.105843342E1,-8.371686935E0,4.060899734E1,-3.448509979E1
5.107835042E1,-8.961723328E0,4.056817627E1,-3.372872162E1
5.109826742E1,-9.749797821E0,4.090801239E1,-3.391603088E1
5.111818442E1,-1.005369759E1,4.041765976E1,-3.432489014E1
5.113810142E1,-1.045263481E1,4.035790634E1,-3.398149872E1
5.115801842E1,-1.028239250E1,4.028244400E1,-3.401844025E1
5.117793542E1,-1.055014420E1,4.036248016E1,-3.344847870E1
5.119785242E1,-1.108040237E1,3.995411682E1,-3.381888580E1
5.121776942E1,-1.148773384E1,3.988064575E1,-3.400534821E1
5.123768642E1,-1.201144409E1,3.984399033E1,-3.338301086E1
5.125760342E1,-1.256468010E1,3.954872131E1,-3.366160583E1
5.127752042E1,-1.305151176E1,3.924940491E1,-3.347378540E1
5.129743842E1,-1.358648491E1,3.875255966E1,-3.396831512E1
5.131735542E1,-1.404883575E1,3.846928406E1,-3.447051239E1
5.133727242E1,-1.412738228E1,3.798548508E1,-3.453677368E1
5.135718942E1,-1.385960770E1,3.758688736E1,-3.461295319E1
5.137710642E1,-1.402910995E1,3.733332443E1,-3.456613159E1
5.139702342E1,-1.432307243E1,3.693758011E1,-3.530719757E1
5.141694042E1,-1.446498680E1,3.697406769E1,-3.524696350E1
5.143685742E1,-1.438407516E1,3.663631058E1,-3.510188293E1
5.145677442E1,-1.438683891E1,3.662252045E1,-3.489784241E1
5.147669142E1,-1.344688416E1,3.653679657E1,-3.537758636E1
5.149660842E1,-1.306611252E1,3.606200027E1,-3.561427307E1
5.151652542E1,-1.268505478E1,3.598501587E1,-3.600979614E1
5.153644242E1,-1.180934525E1,3.571822357E1,-3.584680939E1
5.155635942E1,-1.086796188E1,3.579257202E1,-3.647969055E1
5.157627742E1,-1.003675270E1,3.590439224E1,-3.635147858E1
5.159619442E1,-9.332122803E0,3.525271606E1,-3.651580811E1
5.161611142E1,-8.297090530E0,3.517627716E1,-3.705094910E1
5.163602842E1,-7.838016510E0,3.500262070E1,-3.722275543E1
5.165594542E1,-7.116855621E0,3.479792023E1,-3.719268036E1
5.167586242E1,-6.381259918E0,3.454020691E1,-3.750810242E1
5.169577942E1,-5.764108658E0,3.453089523E1,-3.801479340E1
5.171569642E1,-5.870521545E0,3.415569305E1,-3.836286926E1
5.173561342E1,-5.737911224E0,3.383844376E1,-3.779981232E1
5.175553042E1,-5.796953201E0,3.391918564E1,-3.784386444E1
5.177544742E1,-5.811586380E0,3.414088440E1,-3.767790222E1
5.179536454E1,-6.513338089E0,3.404635620E1,-3.771778107E1
5.181528154E1,-5.721511841E0,3.400174713E1,-3.730148315E1
5.183519854E1,-6.220159531E0,3.465334320E1,-3.654244232E1
5.185511554E1,-6.593679428E0,3.529207611E1,-3.646856689E1
5.187503354E1,-6.372680664E0,3.568193054E1,-3.566534424E1
5.189495054E1,-6.664329529E0,3.610467148E1,-3.510968781E1
5.191486754E1,-7.438217163E0,3.592817688E1,-3.508189392E1
5.193478454E1,-7.521932602E0,3.613665771E1,-3.495080566E1
5.195470154E1,-7.775991440E0,3.624233627E1,-3.451077271E1
5.197461854E1,-8.185194016E0,3.643521118E1,-3.426000977E1
5.199453554E1,-8.711191177E0,3.628302002E1,-3.398934174E1
5.201445254E1,-9.127859116E0,3.641267395E1,-3.383601379E1
5.203436954E1,-9.476034164E0,3.678875732E1,-3.375305176E1
5.205428654E1,-9.856609344E0,3.647054291E1,-3.344075012E1
5.207420354E1,-1.037989807E1,3.636797333E1,-3.349266815E1
5.209412054E1,-1.069256020E1,3.635579681E1,-3.356317139E1
5.211403754E1,-1.140185165E1,3.604234314E1,-3.348915863E1
5.213395454E1,-1.190240669E1,3.597715759E1,-3.314282990E1
5.215387254E1,-1.229720497E1,3.624578857E1,-3.272843933E1
5.217378954E1,-1.227349091E1,3.608473587E1,-3.291888428E1
5.219370654E1,-1.298789787E1,3.587117767E1,-3.275314331E1
