"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.404406917E0,2.075717039E-2,3.412342817E-2,4.340097308E-1
6.424323917E0,-2.463685349E-2,1.443069130E-1,5.092737079E-1
6.444240917E0,-5.142774060E-2,1.944179237E-1,5.748550892E-1
6.464157917E0,-7.449039817E-2,1.945286244E-1,6.277119517E-1
6.484074917E0,-1.029672101E-1,1.366440803E-1,6.726257205E-1
6.503991917E0,-1.274798214E-1,7.371570170E-2,6.841880083E-1
6.523908917E0,-1.389635652E-1,6.068932638E-2,6.730952859E-1
6.543825917E0,-1.510300040E-1,1.327661425E-1,6.485747695E-1
6.563741917E0,-1.250867248E-1,2.869729996E-1,6.195715070E-1
6.583658917E0,-7.769019157E-2,3.996542692E-1,5.653522015E-1
6.603575917E0,-1.984869689E-2,5.016455054E-1,4.685713351E-1
6.623492917E0,8.341583610E-2,5.367092490E-1,3.562735021E-1
6.643409917E0,1.814182997E-1,4.118589461E-1,2.508679926E-1
6.663326917E0,1.799584180E-1,1.756170243E-1,1.530935317E-1
6.683243917E0,8.353485912E-2,-5.895254016E-2,5.788596720E-2
6.703160917E0,-4.739411175E-2,-2.237806171E-1,2.800133079E-2
6.723077917E0,-1.737807989E-1,-3.138625324E-1,5.928310007E-2
6.742994667E0,-3.170023263E-1,-3.894348145E-1,8.516056836E-2
6.762911667E0,-4.684943855E-1,-3.993069828E-1,5.486685038E-2
6.782827667E0,-5.375195742E-1,-3.835901916E-1,-4.526748322E-3
6.802744667E0,-4.509370923E-1,-4.519673586E-1,-6.725653261E-2
6.822661667E0,-2.603145838E-1,-5.600063801E-1,-1.150186136E-1
6.842578667E0,-1.056108773E-1,-5.725496411E-1,-1.773588210E-1
6.862495667E0,-1.954017393E-2,-4.440948367E-1,-2.597567439E-1
6.882412667E0,-1.447081380E-2,-2.258992344E-1,-3.794495761E-1
6.902329667E0,-2.759077027E-2,2.940341271E-2,-5.230228901E-1
6.922246667E0,-3.871504962E-2,2.516375184E-1,-6.437513828E-1
6.942163667E0,-2.855519019E-2,3.676370382E-1,-7.187647820E-1
6.962080667E0,-1.489116251E-2,4.043892026E-1,-7.592452168E-1
6.981997667E0,-2.211141400E-2,4.027462900E-1,-7.823991776E-1
7.001914667E0,-3.867816180E-2,3.435929418E-1,-7.812151313E-1
7.021831667E0,-3.286177292E-2,2.403196841E-1,-7.491370440E-1
7.041747667E0,-2.304752171E-2,1.501342058E-1,-6.892577410E-1
7.061664667E0,-2.440839075E-2,1.368738413E-1,-6.157888770E-1
7.081581667E0,-1.805860177E-2,1.752429008E-1,-5.436182022E-1
7.101498667E0,2.467768826E-2,2.227555960E-1,-4.803074300E-1
7.121415667E0,6.098341569E-2,2.667983472E-1,-4.180057645E-1
7.141332667E0,9.254841506E-2,2.665203512E-1,-3.408517241E-1
7.161249667E0,1.440334022E-1,1.846537441E-1,-2.582050860E-1
7.181166667E0,2.278836668E-1,5.438264459E-2,-1.854556799E-1
7.201083667E0,3.263212442E-1,-3.706000000E-2,-1.013712138E-1
7.221000667E0,4.146210253E-1,-8.332198858E-2,8.651562966E-4
7.240917667E0,4.723092318E-1,-1.033453196E-1,1.005080119E-1
7.260834667E0,4.747765362E-1,-7.195106149E-2,1.471196115E-1
7.280751667E0,3.102320731E-1,-2.590460777E-1,1.493925899E-1
7.300668667E0,1.354051381E-1,-4.689550400E-1,1.476586312E-1
7.320584667E0,6.779398024E-2,-5.920342803E-1,2.012708187E-1
7.340501667E0,6.314125657E-2,-5.274076462E-1,2.461259961E-1
7.360418667E0,1.974445954E-2,-3.181134760E-1,2.872992158E-1
7.380335667E0,-3.277674690E-2,-5.811178684E-2,3.731689155E-1
7.400252667E0,-7.982002199E-2,9.953574836E-2,4.703731239E-1
7.420169667E0,-1.166063920E-1,1.632167995E-1,5.616797209E-1
7.440086667E0,-1.552264839E-1,1.424089968E-1,6.269372702E-1
7.460003667E0,-1.959327459E-1,7.716876268E-2,6.651876569E-1
7.479920667E0,-2.375186980E-1,-2.358097769E-2,6.713119149E-1
7.499837667E0,-2.524066269E-1,-9.915902466E-2,6.436507106E-1
7.519754667E0,-2.394422442E-1,-1.037003994E-1,5.768778920E-1
