"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.382563542E0,1.422110051E-1,2.677371204E-1,-7.501330376E-1
5.402480542E0,1.928753704E-1,2.715499401E-1,-6.252822280E-1
5.422397542E0,2.014152259E-1,2.057386637E-1,-4.250126183E-1
5.442314542E0,2.498390228E-1,1.862949133E-1,-2.236683369E-1
5.462230542E0,2.653002441E-1,1.767903566E-1,-4.215100408E-2
5.482147542E0,2.401425391E-1,1.275597364E-1,1.067833528E-1
5.502064542E0,2.134306431E-1,4.484117031E-2,1.704958826E-1
5.521981542E0,2.253310233E-1,-4.406486824E-2,2.085457891E-1
5.541898542E0,2.619481981E-1,-8.523601294E-2,2.719348967E-1
5.561815542E0,2.630178928E-1,-1.140892208E-1,3.269009292E-1
5.581732542E0,2.371798456E-1,-1.139224023E-1,3.598556817E-1
5.601649542E0,2.392459661E-1,-5.542617291E-2,4.282307327E-1
5.621566542E0,2.079433203E-1,-7.551243156E-2,5.145133138E-1
5.641482542E0,2.197508216E-1,-1.491015404E-1,5.867865682E-1
5.661399542E0,3.179063797E-1,-1.401941329E-1,6.538839936E-1
5.681316542E0,4.014638662E-1,3.181023151E-2,6.982885003E-1
5.701233542E0,3.712002039E-1,1.986888498E-1,7.440467477E-1
5.721150542E0,2.805651128E-1,3.025884926E-1,7.761947513E-1
5.741067542E0,2.227208465E-1,3.403601348E-1,8.444626927E-1
5.760984792E0,1.859172583E-1,3.790425658E-1,9.354209900E-1
5.780901792E0,1.740368158E-1,4.630311131E-1,9.964576960E-1
5.800818792E0,1.700625122E-1,5.721721649E-1,1.018567562E0
5.820734792E0,1.825548410E-1,6.671782136E-1,1.034647584E0
5.840651792E0,1.573771685E-1,7.330816388E-1,1.040344000E0
5.860568792E0,7.495529950E-2,7.335213423E-1,1.029640675E0
5.880485792E0,5.417689681E-2,6.537123322E-1,9.768159986E-1
5.900402792E0,1.276859492E-1,5.163491964E-1,8.955012560E-1
5.920319792E0,2.376728952E-1,3.641876876E-1,8.148046732E-1
5.940236792E0,2.896676660E-1,2.604914904E-1,7.295664549E-1
5.960153792E0,2.478559613E-1,2.322757244E-1,6.194002628E-1
5.980070792E0,1.682235301E-1,2.453211397E-1,5.089940429E-1
5.999986792E0,1.550465822E-1,2.334531844E-1,4.131428599E-1
6.019903792E0,1.743713617E-1,1.828460395E-1,3.351583183E-1
6.039820792E0,2.174426913E-1,1.011654064E-1,2.771714926E-1
6.059737792E0,2.728035748E-1,2.097048797E-3,2.355571687E-1
6.079654792E0,2.639563978E-1,-1.100545302E-1,1.990859807E-1
6.099571792E0,1.527257264E-1,-2.491897941E-1,1.151783019E-1
6.119488792E0,-2.825510688E-3,-4.146640599E-1,1.062726416E-2
6.139405792E0,-2.021161318E-1,-5.238077044E-1,-1.147959158E-1
6.159322792E0,-3.720482290E-1,-5.803081393E-1,-2.586939633E-1
6.179238792E0,-5.023464561E-1,-6.453889608E-1,-4.025520682E-1
6.199155792E0,-4.900429845E-1,-5.942688584E-1,-5.270243287E-1
6.219072792E0,-3.978489637E-1,-4.911333025E-1,-6.185612082E-1
6.238989792E0,-2.489955127E-1,-4.670827985E-1,-7.208182812E-1
6.258906792E0,-1.103868932E-1,-5.271331668E-1,-8.061774373E-1
6.278823792E0,-2.406338789E-2,-5.858002305E-1,-8.419877291E-1
6.298740792E0,-2.992700227E-2,-5.219913721E-1,-8.414909244E-1
6.318657792E0,-9.033450484E-2,-2.878897488E-1,-8.247843981E-1
6.338574792E0,-1.304634362E-1,-8.290146291E-2,-8.267892599E-1
6.358490792E0,-1.411392242E-1,1.047610026E-2,-8.847855330E-1
6.378407792E0,-1.009043753E-1,1.149937976E-2,-9.670604467E-1
6.398324792E0,-3.319703788E-2,-5.450378731E-2,-1.008391976E0
6.418241792E0,-1.770301256E-3,-1.290909946E-1,-9.926381111E-1
6.438158792E0,3.585458547E-2,-1.675795913E-1,-9.269709587E-1
6.458075792E0,9.111860394E-2,-1.725904495E-1,-8.319121003E-1
6.477992792E0,1.254542023E-1,-1.699015647E-1,-7.067516446E-1
6.497909792E0,1.518460810E-1,-1.002162844E-1,-5.834687352E-1
6.517825792E0,1.986178756E-1,-1.324468385E-2,-4.591327906E-1
6.537742792E0,1.996900290E-1,7.423177361E-2,-3.488387465E-1
6.557659792E0,1.499100327E-1,9.403566271E-2,-2.784993351E-1
6.577576792E0,1.407394260E-1,5.856545269E-2,-2.567083240E-1
6.597493792E0,1.605178565E-1,-3.464411199E-2,-2.541583180E-1
6.617410792E0,1.662896127E-1,-1.699479371E-1,-2.081765980E-1
6.637327792E0,1.760924160E-1,-3.262451887E-1,-1.721494794E-1
6.657244792E0,2.135634571E-1,-4.699671566E-1,-1.645929068E-1
6.677161792E0,2.430080920E-1,-4.957240820E-1,-1.557249725E-1
6.697077792E0,2.443363219E-1,-3.703384995E-1,-1.408126056E-1
6.716994792E0,2.438880354E-1,-2.635106146E-1,-1.221225336E-1
6.736911792E0,1.947712004E-1,-1.573904157E-1,-1.441476792E-1
6.756828417E0,1.276485473E-1,4.232880473E-2,-2.379825562E-1
6.776745417E0,4.745943472E-2,1.759017706E-1,-2.639744878E-1
6.796662417E0,-8.375696838E-2,1.179250330E-1,-2.205621451E-1
6.816579417E0,-2.527450025E-1,-8.452547714E-3,-1.351708323E-1
6.836496417E0,-3.495008349E-1,-3.477786481E-2,-6.995800138E-2
6.856413417E0,-3.394576311E-1,5.837358534E-2,-3.793042898E-2
6.876329417E0,-2.694901824E-1,2.183754146E-1,-1.483988762E-2
6.896246417E0,-1.943338811E-1,3.356701434E-1,4.171539843E-2
6.916163417E0,-1.708813310E-1,3.518669605E-1,1.406576931E-1
6.936080417E0,-1.855094880E-1,3.269536197E-1,2.152144909E-1
6.955997417E0,-2.839007080E-1,2.457819879E-1,2.254225165E-1
6.975914417E0,-3.792437315E-1,1.329207122E-1,1.890597045E-1
6.995831417E0,-3.779523969E-1,3.009803593E-2,1.208985150E-1
7.015748417E0,-3.335542083E-1,5.245062709E-2,1.378749311E-2
7.035664417E0,-3.219810724E-1,1.469614506E-1,-8.128309250E-2
7.055581417E0,-3.070844114E-1,2.978088558E-1,-1.579485834E-1
7.075498417E0,-2.940650880E-1,4.448530674E-1,-2.169703543E-1
7.095415417E0,-3.038490713E-1,5.464469790E-1,-2.797441185E-1
7.115332417E0,-3.104954064E-1,5.904541016E-1,-3.288714588E-1
7.135249417E0,-3.037154078E-1,5.735566020E-1,-3.263819218E-1
7.155166417E0,-3.126470447E-1,4.942540824E-1,-2.798469067E-1
7.175083417E0,-3.445127308E-1,3.533525467E-1,-2.095832825E-1
7.195000417E0,-4.242475927E-1,2.451571822E-1,-1.844737977E-1
7.214916417E0,-4.922728240E-1,1.890144050E-1,-1.769658029E-1
7.234833417E0,-5.123979449E-1,2.131266445E-1,-2.074805647E-1
7.254750417E0,-4.992997646E-1,2.630525529E-1,-2.710025609E-1
7.274667417E0,-4.960424006E-1,2.125300318E-1,-3.606755733E-1
7.294584417E0,-4.649728537E-1,8.909273148E-2,-4.664010704E-1
7.314501417E0,-4.111834168E-1,8.648447692E-4,-5.547373295E-1
7.334418417E0,-3.746834397E-1,-1.045750827E-1,-5.977888107E-1
7.354335417E0,-2.996636629E-1,-2.470294088E-1,-6.272755861E-1
7.374252417E0,-1.820498705E-1,-4.197123349E-1,-6.787212491E-1
