"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.816579417E0,-8.224982300E2,7.463461304E2,-3.917501831E1
6.836496417E0,-8.221895752E2,7.466235962E2,-3.942138672E1
6.856413417E0,-8.222730103E2,7.466571655E2,-3.938674927E1
6.876329417E0,-8.221071167E2,7.467379761E2,-3.965406036E1
6.896246417E0,-8.216422729E2,7.469432373E2,-3.943773651E1
6.916163417E0,-8.217905273E2,7.473750610E2,-4.025538635E1
6.936080417E0,-8.220342407E2,7.475816040E2,-4.062816620E1
6.955997417E0,-8.221144409E2,7.477953491E2,-4.110206604E1
6.975914417E0,-8.219456787E2,7.484720459E2,-4.134226227E1
6.995831417E0,-8.225892944E2,7.491159668E2,-4.125238037E1
7.015748417E0,-8.227905884E2,7.496104736E2,-4.129528809E1
7.035664417E0,-8.225043335E2,7.495993652E2,-4.172570801E1
7.055581417E0,-8.225305176E2,7.496173706E2,-4.198553467E1
7.075498417E0,-8.217805176E2,7.494132690E2,-4.265691376E1
7.095415417E0,-8.217412109E2,7.494271240E2,-4.305427551E1
7.115332417E0,-8.210494385E2,7.493985596E2,-4.329071045E1
7.135249417E0,-8.202918091E2,7.496478271E2,-4.431838989E1
7.155166417E0,-8.199449463E2,7.495766602E2,-4.466603851E1
7.175083417E0,-8.203005371E2,7.500228271E2,-4.537533569E1
7.195000417E0,-8.201353760E2,7.498956299E2,-4.598020935E1
7.214916417E0,-8.198796387E2,7.502052002E2,-4.633300781E1
7.234833417E0,-8.200783081E2,7.503925781E2,-4.651502228E1
7.254750417E0,-8.191253052E2,7.501715698E2,-4.633806610E1
7.274667417E0,-8.192666626E2,7.508235474E2,-4.721588135E1
7.294584417E0,-8.194351196E2,7.514718628E2,-4.764997864E1
7.314501417E0,-8.188711548E2,7.518338013E2,-4.748553467E1
7.334418417E0,-8.183012695E2,7.514633789E2,-4.796563721E1
7.354335417E0,-8.176208496E2,7.509440308E2,-4.790234375E1
7.374252417E0,-8.178214111E2,7.504968872E2,-4.821286774E1
7.394168417E0,-8.179335327E2,7.498857422E2,-4.838603210E1
7.414085417E0,-8.174788818E2,7.491323242E2,-4.790943146E1
7.434002417E0,-8.176698608E2,7.486935425E2,-4.777139282E1
7.453919417E0,-8.168020630E2,7.473798218E2,-4.751736450E1
7.473836417E0,-8.170808105E2,7.470354614E2,-4.768300629E1
7.493753417E0,-8.161704712E2,7.463715210E2,-4.779904938E1
7.513670417E0,-8.161849976E2,7.462450562E2,-4.752771759E1
7.533587417E0,-8.155057373E2,7.459363403E2,-4.816806793E1
7.553503417E0,-8.146208496E2,7.453881836E2,-4.789065552E1
7.573420417E0,-8.144738159E2,7.456273193E2,-4.829817200E1
7.593337417E0,-8.142025757E2,7.453753052E2,-4.841856384E1
7.613254417E0,-8.137543335E2,7.453273315E2,-4.850089264E1
7.633171417E0,-8.128111572E2,7.450117188E2,-4.860675812E1
7.653088417E0,-8.122161255E2,7.445542603E2,-4.835282898E1
7.673005417E0,-8.127052002E2,7.445043335E2,-4.832203674E1
7.692922417E0,-8.122702026E2,7.441762695E2,-4.864569855E1
7.712839417E0,-8.124515381E2,7.435836182E2,-4.857217407E1
7.732756417E0,-8.111496582E2,7.431608276E2,-4.879302216E1
